time,X_px,Y_px,X_m,Y_m,Vx_ms,Vy_ms,V_ms
1734979104.766442,483.8,297.4,0.9676,0.5948,-0.13315442935684374,-0.1815742218502433,0.22516505079134297
1734979104.8156776,481.8,295.4,0.9636,0.5908,-0.08124205724689973,-0.08124205724689973,0.114893619193657
1734979104.8772323,480.0,294.2,0.96,0.5884,-0.05848459557129046,-0.0389897303808591,0.0702897360523533
1734979104.9254515,478.4,293.4,0.9568,0.5868,-0.06636360076342632,-0.03318180038171431,0.0741967612693396
1734979104.957965,477.0,292.8,0.9540000000000001,0.5856,-0.08611839174017671,-0.03690788217436194,0.09369401881929881
1734979104.991794,476.2,292.8,0.9524,0.5856,-0.04729640143773481,0.0,0.04729640143773481
1734979105.036875,475.4,292.8,0.9508,0.5856,-0.03549174912604619,0.0,0.03549174912604619
1734979105.069373,474.8,292.8,0.9496,0.5856,-0.03692548237054797,0.0,0.03692548237054797
1734979105.1014273,474.4,292.8,0.9488,0.5856,-0.02495755321839323,0.0,0.02495755321839323
1734979105.150281,474.0,293.0,0.9480000000000001,0.586,-0.016375444469928457,0.008187722234964228,0.01830830349826652
1734979105.1812809,473.6,293.0,0.9472,0.586,-0.0258065357667497,0.0,0.0258065357667497
1734979105.2133741,473.2,292.8,0.9464,0.5856,-0.02492733175344959,-0.012463665876723066,0.027869604149200384
1734979105.2606936,472.2,292.6,0.9444,0.5852,-0.04226595187230444,-0.00845319037445995,0.04310298267149058
1734979105.2928765,470.8,292.0,0.9416,0.584,-0.08700263881172059,-0.03728684520502557,0.09465605097164284
1734979105.3260906,469.0,291.6,0.9380000000000001,0.5832,-0.10838772808843396,-0.02408616179742754,0.11103171974847617
1734979105.3743553,466.2,290.8,0.9324,0.5816,-0.11602672633955358,-0.03315049323987311,0.12066961683506137
1734979105.4045668,462.6,290.0,0.9252,0.58,-0.23832025000789114,-0.05296005555731077,0.2441337933356568
1734979105.436935,458.4,289.0,0.9168,0.578,-0.2595141026207651,-0.06178907205256263,0.26676854927854177
1734979105.485544,453.4,288.2,0.9067999999999999,0.5764,-0.20572314242131456,-0.03291570278740896,0.2083397581300543
